man_man,man_woman,woman_man,woman_woman
0.8504874110221863,0.8487826585769653,0.8620928525924683,0.8513996601104736
0.8617923855781555,0.8558284640312195,0.8516638875007629,0.8570530414581299
0.8464864492416382,0.8665198683738708,0.8495302796363831,0.8621349930763245
0.8594459295272827,0.8529859781265259,0.8521178960800171,0.8485966324806213
0.8689091205596924,0.8626322150230408,0.8498291969299316,0.8596082925796509
0.8569083213806152,0.854191243648529,0.8579496741294861,0.8444464802742004
0.84881192445755,0.8502769470214844,0.8466076850891113,0.8509160280227661
0.859660267829895,0.847448468208313,0.8654523491859436,0.8436747193336487
0.8572614789009094,0.8597471117973328,0.8544712662696838,0.8546820878982544
0.8547206521034241,0.8628408312797546,0.8506739735603333,0.8655025959014893
0.8513369560241699,0.861340343952179,0.8489099740982056,0.8441426753997803
0.856091320514679,0.8475666642189026,0.8399832844734192,0.8463415503501892
0.8541662096977234,0.8666015267372131,0.8575019240379333,0.8477864861488342
0.8672090172767639,0.8426899313926697,0.8542270064353943,0.846903920173645
0.8626936078071594,0.8497456908226013,0.8441677689552307,0.850159227848053
0.8463730812072754,0.8428285717964172,0.8628372550010681,0.8489680886268616
0.8456842303276062,0.8451644778251648,0.8487828969955444,0.8517782688140869
0.8653571605682373,0.8659587502479553,0.8608641028404236,0.8506677746772766
0.8452820777893066,0.8586156368255615,0.840686559677124,0.8521826267242432
0.8585436344146729,0.8582202196121216,0.8497231602668762,0.8501946926116943
0.8484292030334473,0.8605754375457764,0.8671315312385559,0.8635843992233276
0.8569259643554688,0.865287721157074,0.8590953946113586,0.8480919599533081
0.8649051189422607,0.8618857264518738,0.8551573157310486,0.8438029885292053
0.8533628582954407,0.8505116105079651,0.8482091426849365,0.8612715005874634
0.8631141781806946,0.8669626712799072,0.854164719581604,0.850840151309967
0.8493690490722656,0.8676126599311829,0.8624511957168579,0.8546480536460876
0.8500587344169617,0.8539547324180603,0.8460103273391724,0.8552569150924683
0.8628936409950256,0.8592370748519897,0.8417137265205383,0.84952712059021
0.8579055070877075,0.8570576310157776,0.8604945540428162,0.8584411144256592
0.8425197601318359,0.8667828440666199,0.8447993397712708,0.8636426329612732
0.8585554361343384,0.8630738258361816,0.8474522829055786,0.8483258485794067
0.8484237194061279,0.8603654503822327,0.847695529460907,0.8498674035072327
